,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,Fatehpur,25.93,80.8,307.1,39,15,2.68,IN,1591916451
124,Odda,60.07,6.55,289.82,58,99,0.89,NO,1591916320
125,Fort Nelson,58.81,-122.7,297.15,31,75,4.6,CA,1591916161
126,Mahon,39.89,4.27,293.15,82,40,6.7,ES,1591916452
127,Deputatsky,69.3,139.9,285.78,58,83,2.83,RU,1591916168
128,Podor,16.65,-14.96,310.15,35,4,5.72,MR,1591915986
129,Saint-Pierre,-21.34,55.48,292.15,63,17,5.1,RE,1591915722
130,Luanda,-8.84,13.23,295.15,83,20,2.1,AO,1591916453
131,Mossamedes,-15.2,12.15,291.1,65,0,1.69,AO,1591915966
132,Bathsheba,13.22,-59.52,301.15,74,20,7.7,BB,1591916136
133,Khatanga,71.97,102.5,278.15,69,93,6.02,RU,1591915959
134,Ryōtsu-minato,38.08,138.43,294.15,94,75,1,JP,1591916454
135,Alyangula,-13.85,136.42,292.15,93,71,5.31,AU,1591916455
136,Edson,53.58,-116.44,294.15,28,1,3.6,CA,1591916455
137,Saldanha,-33.01,17.94,281.15,87,10,0.5,ZA,1591916141
138,Pathein,16.78,94.73,299.77,87,100,2.56,MM,1591916456
139,Sarmanovo,55.26,52.59,288.15,93,28,4,RU,1591916456
140,Iqaluit,63.75,-68.51,277.15,60,75,1.5,CA,1591915875
141,Ballina,-28.87,153.57,290.15,82,92,4.6,AU,1591916457
142,Kirkwood,38.58,-90.41,303.15,27,1,4.6,US,1591916457
143,Honningsvåg,70.98,25.97,279.46,82,71,10.38,NO,1591916013
144,Lompoc,34.64,-120.46,297.04,64,0,8.2,US,1591915712
145,Oriximiná,-1.77,-55.87,298.81,88,90,1.28,BR,1591916458
146,Praia,14.92,-23.51,302.15,45,0,3.6,CV,1591916458
147,Stephenville,32.22,-98.2,306.15,16,1,4.1,US,1591916271
148,Nemuro,43.32,145.57,288.17,79,31,7.67,JP,1591915965
149,Baillif,16.02,-61.75,301.15,69,40,4.6,GP,1591916460
150,Arawa,-6.21,155.54,302.8,63,94,1.7,PG,1591916460
151,Lagoa,39.05,-27.98,290.68,88,93,6.96,PT,1591916170
152,Burns Lake,54.23,-125.75,285.1,80,100,2.29,CA,1591916401
153,Moose Factory,51.26,-80.61,280.15,93,90,6.2,CA,1591915975
154,Mount Gambier,-37.83,140.77,276.15,93,77,3.6,AU,1591915863
155,Inhambane,-23.86,35.38,295.28,85,0,6.41,MZ,1591915705
156,Chapada dos Guimarães,-15.46,-55.75,303.15,40,0,2.1,BR,1591916178
157,Maple Creek,49.92,-109.48,297.4,34,38,2.96,CA,1591916462
158,Canavieiras,-15.68,-38.95,296.05,87,0,0.64,BR,1591916463
159,Bilma,18.69,12.92,307.04,11,0,4.23,NE,1591916167
160,Cabo San Lucas,22.89,-109.91,304.15,38,5,2.1,MX,1591915951
161,Pevek,69.7,170.31,276.05,92,74,0.53,RU,1591915958
162,Ponta do Sol,32.67,-17.1,292.15,68,40,1.5,PT,1591915977
163,Fethiye,36.62,29.12,291.15,93,0,1,TR,1591916464
164,Nelidovo,56.22,32.78,289.64,91,100,1.7,RU,1591916464
165,Lebu,-37.62,-73.65,284.57,81,43,6.17,CL,1591915973
166,East London,-33.02,27.91,286.74,51,7,14.02,ZA,1591915950
167,Bucerías,20.75,-105.33,301.15,74,90,4.1,MX,1591916466
168,Agadez,19.75,10.25,306.22,11,0,2.6,NE,1591916467
169,Mercedes,-34.65,-59.43,287.59,53,73,1.79,AR,1591916467
170,Mazatlán,23.22,-106.42,302.15,62,20,4.6,MX,1591916461
171,Esplanada,-11.8,-37.95,294.42,96,0,1.67,BR,1591916468
172,Jamestown,42.1,-79.24,294.82,49,1,7.7,US,1591915953
173,Erzin,36.96,36.2,294.82,84,54,0.45,TR,1591915713
174,Kol'chugino,56.3,39.38,290.61,95,43,1.36,RU,1591916469
175,Boende,-0.22,20.87,294.52,91,88,0.15,CD,1591916469
176,Sørland,67.67,12.69,280.91,81,10,4.36,NO,1591915991
177,Joigny,47.98,3.4,286.48,94,100,1.9,FR,1591916470
178,Adrar,20.5,-10.07,307.8,20,0,4.29,MR,1591915968
179,Chui,-33.7,-53.46,289.22,95,96,2.96,UY,1591915950
180,Salina,38.84,-97.61,307.04,25,1,4.6,US,1591916251
181,Lüderitz,-26.65,15.16,285.15,76,0,5.1,NA,1591915961
182,Guerrero Negro,27.98,-114.06,301.67,27,0,7.28,MX,1591915952
183,Sola,-13.88,167.55,300.56,82,63,10.13,VU,1591915954
184,Evensk,61.95,159.23,283.17,70,47,6.17,RU,1591915977
185,Oistins,13.07,-59.53,301.15,74,20,7.7,BB,1591916184
186,Saurimo,-9.66,20.39,289.05,45,82,1.16,AO,1591916473
187,Moree,-29.47,149.85,286.15,76,23,4.6,AU,1591915984
188,Buala,-8.14,159.59,302.18,75,89,3.88,SB,1591916164
189,Yelizovo,53.19,158.38,280.15,100,75,4,RU,1591916474
190,Half Moon Bay,37.46,-122.43,300.37,49,75,12.3,US,1591915964
